time,x,y
0.0,0.015235853987721568,0.056448614636044586
0.058823529411764705,0.6424737454100616,0.5562411506869372
0.11764705882352941,1.404140096452801,1.03040606386356
0.1764705882352941,2.0641798846303057,1.4918566507239124
0.23529411764705882,2.5492183374333104,1.978070054906129
0.29411764705882354,3.1910363759924953,2.3485056407321614
0.3529411764705882,3.8523202819326348,2.6591460746436772
0.4117647058823529,4.400936622313447,2.8756530865730827
0.47058823529411764,4.96837643466864,3.155176819894635
0.5294117647058824,5.461269356130143,3.3431032075546465
0.5882352941176471,6.065404927848416,3.5022797758898436
0.6470588235294118,6.561199254735657,3.6506434430128984
0.7058823529411764,7.0103819383009505,3.696861672359301
0.7647058823529411,7.532627090247454,3.762314057311027
0.8235294117647058,7.953740122007153,3.7396654026227254
0.8823529411764706,8.32689966107494,3.725009932384705
0.9411764705882353,8.813670869209895,3.6838172470865045
1.0,9.158981982030003,3.4895724096465717
1.0588235294117647,9.649304858223232,3.4261159607508884
1.1176470588235294,9.988531303022,3.268723046019926
1.1764705882352942,10.355030652545507,3.0818621230832037
1.2352941176470589,10.69147303183367,2.8939542398112246
1.2941176470588236,11.136277712752252,2.7495940339677993
1.3529411764705883,11.405814134071768,2.3727819951735154
1.4117647058823528,11.719634425921278,2.1806380327089965
1.4705882352941175,12.040424395528945,1.739961404138156
1.5294117647058822,12.391435389571537,1.4757519433298907
1.588235294117647,12.680017260987011,1.1462908970399786
1.6470588235294117,12.96976022001701,0.7911180970734789
1.7058823529411764,13.248803513067962,0.3997261740355202
1.7647058823529411,13.6035411273592,-0.014421106056822043
1.8235294117647058,13.736679209693198,-0.5097265308992026
1.8823529411764706,13.98355223979665,-0.9729167983999484
1.9411764705882353,14.212532684933748,-1.3830957147682308
2.0,14.520230434478014,-1.9298405984679796
